name,latitude,longitude,address,tags
Noodles & Company,41.8810741,-87.6305135,"South Clark Street, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '47', 'addr:postcode': '60603', 'addr:state': 'IL', 'addr:street': 'South Clark Street', 'amenity': 'restaurant', 'brand': 'Noodles & Company', 'brand:wikidata': 'Q7049673', 'cuisine': 'pasta', 'name': 'Noodles & Company', 'website': 'https://www.noodles.com/'}"
Grill Room,41.8806134,-87.6286511,"N/A, N/A","{'amenity': 'restaurant', 'name': 'Grill Room'}"
Eppy's Deli,41.8849897,-87.6355762,"N/A, N/A","{'amenity': 'restaurant', 'cuisine': 'sandwich', 'name': ""Eppy's Deli""}"
La Cocina,41.885424,-87.6355896,"North Franklin Street, N/A","{'addr:housenumber': '178', 'addr:street': 'North Franklin Street', 'amenity': 'restaurant', 'cuisine': 'mexican', 'name': 'La Cocina'}"
Noodles & Company,41.8814165,-87.6351174,"N/A, N/A","{'amenity': 'restaurant', 'brand': 'Noodles & Company', 'brand:wikidata': 'Q7049673', 'cuisine': 'pasta', 'name': 'Noodles & Company'}"
Freshii,41.8806526,-87.6267258,"N/A, N/A","{'amenity': 'restaurant', 'brand': 'Freshii', 'brand:wikidata': 'Q5503051', 'cuisine': 'salad', 'name': 'Freshii'}"
Weber Grill,41.8920577,-87.6278696,"North State Street, Chicago","{'addr:city': 'Chicago', 'addr:country': 'US', 'addr:housenumber': '539', 'addr:postcode': '60654', 'addr:state': 'IL', 'addr:street': 'North State Street', 'amenity': 'restaurant', 'cuisine': 'steak;burger;ribs', 'name': 'Weber Grill', 'opening_hours': 'Mo-Fr 06:30-10:00; Mo-Th 11:00-23:00; Fr 11:00-00:00; Sa-Su 06:30-11:00; Sa 11:30-00:00; Su 11:30-23:00', 'phone': '+1-312-467-9696', 'website': 'https://www.webergrillrestaurant.com/'}"
Nile Restaurant,41.7951799,-87.5971262,"East 55th Street, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '1162', 'addr:postcode': '60615', 'addr:state': 'IL', 'addr:street': 'East 55th Street', 'amenity': 'restaurant', 'cuisine': 'kebab;middle_eastern', 'diet:halal': 'yes', 'name': 'Nile Restaurant'}"
Petterino's,41.8846009,-87.6296591,"North Dearborn Street, Chicago","{'addr:city': 'Chicago', 'addr:country': 'US', 'addr:housenumber': '150', 'addr:postcode': '60601', 'addr:state': 'IL', 'addr:street': 'North Dearborn Street', 'amenity': 'restaurant', 'cuisine': 'italian', 'name': ""Petterino's"", 'phone': '+1-312-422-0150', 'website': 'https://www.petterinos.com/'}"
Bar Louie,41.8887361,-87.629404,"North Dearborn Street, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '333-335', 'addr:postcode': '60654', 'addr:state': 'IL', 'addr:street': 'North Dearborn Street', 'amenity': 'restaurant', 'cuisine': 'american', 'name': 'Bar Louie', 'opening_hours': 'Mo-Su 11:00-02:00', 'phone': '+1-312-863-2363', 'url': 'http://www.barlouieamerica.com/', 'website': 'https://www.barlouie.com/'}"
NYC Bagel Deli,41.8914217,-87.6294449,"North Clark Street, Chicago","{'addr:city': 'Chicago', 'addr:country': 'US', 'addr:housenumber': '515', 'addr:postcode': '60654', 'addr:state': 'IL', 'addr:street': 'North Clark Street', 'amenity': 'restaurant', 'cuisine': 'sandwich', 'name': 'NYC Bagel Deli', 'opening_hours': 'Mo-Fr 05:30-20:00; Sa 06:00-20:00; Su 06:00-16:00', 'url': 'http://www.nycbd.com/'}"
"Joe's Seafood, Prime Steak & Stone Crab",41.8918646,-87.6256252,"East Grand Avenue, Chicago","{'addr:city': 'Chicago', 'addr:country': 'US', 'addr:housenumber': '60', 'addr:postcode': '60611', 'addr:state': 'IL', 'addr:street': 'East Grand Avenue', 'amenity': 'restaurant', 'cuisine': 'steak;seafood;fine_dining', 'name': ""Joe's Seafood, Prime Steak & Stone Crab"", 'opening_hours': 'Mo-Th 11:30-23:00; Fr 11:30-00:00; Sa 11:00-00:00; Su 11:00-22:30', 'phone': '+1-312-379-5637', 'website': 'https://www.joes.net/'}"
Quartino Ristorante,41.8934348,-87.6283059,"North State Street, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '626', 'addr:postcode': '60654', 'addr:state': 'IL', 'addr:street': 'North State Street', 'amenity': 'restaurant', 'cuisine': 'tapas;pizza;pasta', 'name': 'Quartino Ristorante', 'opening_hours': 'Mo-Fr 11:30-02:00; Sa 11:30-03:00; Su 11:30-01:00', 'phone': '+1-312-698-5000', 'website': 'https://www.quartinochicago.com/', 'wheelchair': 'yes'}"
Crave Cafe and Lounge,41.8670718,-87.6243199,"South Michigan Avenue, N/A","{'addr:housenumber': '1250', 'addr:street': 'South Michigan Avenue', 'amenity': 'restaurant', 'cuisine': 'comfort_food', 'name': 'Crave Cafe and Lounge'}"
Thai Urban Kitchen,41.8821639,-87.6399799,"N/A, N/A","{'amenity': 'restaurant', 'cuisine': 'thai', 'name': 'Thai Urban Kitchen', 'website': 'http://www.thaiurbankitchen.com/'}"
California Pizza Kitchen,41.8926488,-87.6264363,"East Ohio Street, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '52', 'addr:postcode': '60611', 'addr:state': 'IL', 'addr:street': 'East Ohio Street', 'amenity': 'restaurant', 'brand': 'California Pizza Kitchen', 'brand:wikidata': 'Q15109854', 'cuisine': 'pizza', 'internet_access': 'wlan', 'internet_access:fee': 'no', 'name': 'California Pizza Kitchen', 'short_name': 'CPK', 'website': 'https://www.cpk.com/'}"
Sweetwater,41.8865103,-87.6242243,"N/A, N/A","{'amenity': 'restaurant', 'name': 'Sweetwater'}"
Hoyt's,41.8873013,-87.6259485,"N/A, N/A","{'amenity': 'restaurant', 'name': ""Hoyt's"", 'opening_hours': 'Su,Mo 06:30-14:00, Tu-Th 06:30-23:00, Fr,Sa 06:30-24:00', 'wheelchair': 'yes'}"
McCormick & Schmick's,41.8866171,-87.627223,"N/A, N/A","{'amenity': 'restaurant', 'brand': ""McCormick & Schmick's"", 'brand:wikidata': 'Q6800562', 'cuisine': 'seafood;steak', 'name': ""McCormick & Schmick's""}"
Emerald Loop,41.8863702,-87.6265173,"North Wabash Avenue, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '216', 'addr:postcode': '60601', 'addr:state': 'IL', 'addr:street': 'North Wabash Avenue', 'amenity': 'restaurant', 'name': 'Emerald Loop', 'phone': '+1-312-263-0200', 'website': 'https://emeraldloop.com/'}"
Oasis Cafe,41.8826872,-87.6259327,"North Wabash Avenue, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '21', 'addr:postcode': '60602', 'addr:state': 'IL', 'addr:street': 'North Wabash Avenue', 'amenity': 'restaurant', 'cuisine': 'mediterranean', 'name': 'Oasis Cafe', 'opening_hours': 'Mo-Fr 10:00-17:30; Sa 11:00-16:00', 'phone': '+1-312-443-9534'}"
Atwood,41.8830549,-87.6281296,"West Washington Street, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '1', 'addr:postcode': '60602', 'addr:state': 'IL', 'addr:street': 'West Washington Street', 'amenity': 'restaurant', 'name': 'Atwood', 'phone': '+1-312-368-1900', 'website': 'https://atwoodrestaurant.com/'}"
Wow Bao,41.8859644,-87.6282313,"N/A, N/A","{'amenity': 'restaurant', 'cuisine': 'asian', 'name': 'Wow Bao', 'phone': '+13126580305'}"
State and Lake Chicago Tavern,41.8862145,-87.6277289,"North State Street, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '201', 'addr:postcode': '60601', 'addr:state': 'IL', 'addr:street': 'North State Street', 'amenity': 'restaurant', 'cuisine': 'american', 'name': 'State and Lake Chicago Tavern', 'phone': '+1-312-239-9400', 'website': 'https://stateandlakechicago.com/'}"
Protein Bar,41.8858837,-87.6286906,"N/A, N/A","{'amenity': 'restaurant', 'name': 'Protein Bar'}"
Chicago Curry House,41.8707557,-87.6283739,"South Plymouth Court, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '899', 'addr:postcode': '60605', 'addr:state': 'IL', 'addr:street': 'South Plymouth Court', 'amenity': 'restaurant', 'check_date': '2022-09-16', 'cuisine': 'indian', 'name': 'Chicago Curry House', 'phone': '+1 312-362-9999', 'website': 'https://curryhouseonline.com/', 'website:menu': 'https://curryhouseonline.com/menu'}"
Mezza Mediterranean Grill,41.8821849,-87.6388681,"N/A, N/A","{'amenity': 'restaurant', 'cuisine': 'mediterranean', 'level': '2', 'name': 'Mezza Mediterranean Grill'}"
Yolk,41.8821339,-87.6409831,"West Madison Street, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '500', 'addr:postcode': '60661', 'addr:state': 'IL', 'addr:street': 'West Madison Street', 'amenity': 'restaurant', 'cuisine': 'breakfast', 'name': 'Yolk', 'website': 'https://eatyolk.com/'}"
Coco Pazzo,41.8900946,-87.6357331,"West Hubbard Street, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '300', 'addr:postcode': '60654', 'addr:state': 'IL', 'addr:street': 'West Hubbard Street', 'amenity': 'restaurant', 'cuisine': 'italian;pizza', 'name': 'Coco Pazzo', 'not:brand:wikidata': 'Q65084369', 'opening_hours': 'Mo-Fr 11:30-14:30, Mo-Th 17:00-22:00, Fr-Sa 17:00-22:30, Su 17:00-21:30', 'phone': '+1-312-836-0900', 'website': 'https://www.cocopazzochicago.com/'}"
Jefa's Cantina,41.8739784,-87.6294588,"South Dearborn Street, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '610', 'addr:postcode': '60605', 'addr:state': 'IL', 'addr:street': 'South Dearborn Street', 'amenity': 'restaurant', 'cuisine': 'mexican', 'name': ""Jefa's Cantina""}"
The Purple Pig,41.8907486,-87.624603,"North Michigan Avenue, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '444', 'addr:postcode': '60611', 'addr:state': 'IL', 'addr:street': 'North Michigan Avenue', 'amenity': 'restaurant', 'cuisine': 'american', 'name': 'The Purple Pig', 'opening_hours': 'Mo-Su 11:00-22:00', 'phone': '+1-312-464-1744', 'phone:mnemonic': '+1-312-464-1-PIG', 'website': 'https://thepurplepigchicago.com/'}"
Grand Lux Cafe,41.8931299,-87.6247284,"North Michigan Avenue, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '600', 'addr:postcode': '60611', 'addr:state': 'IL', 'addr:street': 'North Michigan Avenue', 'amenity': 'restaurant', 'cuisine': 'american', 'name': 'Grand Lux Cafe', 'opening_hours': 'Mo-Fr 11:00-23:30; Sa 09:00-00:30; Su 09:00-23:30', 'phone': '+1-312-276-2500', 'website': 'https://www.grandluxcafe.com/'}"
Chef's Burger Bistro,41.8919137,-87.6229257,"N/A, N/A","{'amenity': 'restaurant', 'cuisine': 'burger', 'name': ""Chef's Burger Bistro""}"
Protein Bar,41.8791383,-87.6350816,"N/A, N/A","{'amenity': 'restaurant', 'name': 'Protein Bar'}"
Phoenix,41.8535449,-87.6329633,"South Archer Avenue, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '2131', 'addr:postcode': '60616', 'addr:state': 'IL', 'addr:street': 'South Archer Avenue', 'amenity': 'restaurant', 'cuisine': 'chinese', 'name': 'Phoenix'}"
Townhouse Restaurant & Wine Bar,41.8800934,-87.6365256,"South Wacker Drive, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '111', 'addr:postcode': '60606', 'addr:state': 'IL', 'addr:street': 'South Wacker Drive', 'amenity': 'restaurant', 'name': 'Townhouse Restaurant & Wine Bar'}"
Indian Garden,41.8932431,-87.6208409,"East Ontario Street, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '247', 'addr:postcode': '60611', 'addr:street': 'East Ontario Street', 'amenity': 'restaurant', 'cuisine': 'indian', 'name': 'Indian Garden', 'phone': '+1 312-280-4910', 'website': 'https://www.indiangardenchicago.com/', 'website:menu': 'https://www.indiangardenchicago.com/menu'}"
Dao,41.8927469,-87.6215023,"N/A, N/A","{'amenity': 'restaurant', 'cuisine': 'thai', 'name': 'Dao'}"
Emilios Tapas,41.8923735,-87.6211134,"N/A, N/A","{'amenity': 'restaurant', 'cuisine': 'spanish', 'name': 'Emilios Tapas'}"
Tre Soldi,41.8927289,-87.622079,"N/A, N/A","{'amenity': 'restaurant', 'cuisine': 'italian', 'name': 'Tre Soldi'}"
Gyu-Kaku,41.8927269,-87.6222426,"East Ohio Street, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '210', 'addr:postcode': '60611', 'addr:state': 'IL', 'addr:street': 'East Ohio Street', 'amenity': 'restaurant', 'brand': 'Gyu-Kaku', 'brand:wikidata': 'Q11349387', 'cuisine': 'japanese;barbecue', 'name': 'Gyu-Kaku', 'phone': '+1-312-266-8929', 'website': 'https://www.gyu-kaku.com'}"
Robert's Pizza Company,41.8924901,-87.618341,"N/A, N/A","{'amenity': 'restaurant', 'cuisine': 'pizza', 'name': ""Robert's Pizza Company""}"
Sable Kitchen & Bar,41.8910524,-87.6273558,"North State Street, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '505', 'addr:postcode': '60654', 'addr:state': 'IL', 'addr:street': 'North State Street', 'addr:unit': '101', 'amenity': 'restaurant', 'name': 'Sable Kitchen & Bar', 'opening_hours': 'Mo-Fr 07:00-10:30, 16:00-02:00; Sa 08:00-02:00; Su 08:00-00:00', 'phone': '+1-312-755-9704', 'website': 'https://sablechicago.com/'}"
Xoco,41.8906926,-87.6309133,"North Clark Street, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '449', 'addr:postcode': '60654', 'addr:state': 'IL', 'addr:street': 'North Clark Street', 'amenity': 'restaurant', 'cuisine': 'mexican', 'name': 'Xoco', 'opening_hours': 'Tu-Th 08:00-21:00; Fr-Sa 08:00-22:00', 'phone': '+1-312-661-1434', 'website': 'https://www.rickbayless.com/restaurants/xoco/'}"
Topolobampo,41.8906247,-87.630916,"North Clark Street, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '445', 'addr:postcode': '60654', 'addr:state': 'IL', 'addr:street': 'North Clark Street', 'amenity': 'restaurant', 'cuisine': 'mexican;fine_dining', 'name': 'Topolobampo', 'opening_hours': 'Tu-Fr 11:30-14:00; Tu-Th 17:30-21:30; Fr-Sa 17:30-22:30', 'phone': '+1-312-661-1434', 'website': 'https://www.rickbayless.com/restaurants/topolobampo/'}"
Frontera Grill,41.8905369,-87.6309213,"North Clark Street, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '445', 'addr:postcode': '60654', 'addr:state': 'IL', 'addr:street': 'North Clark Street', 'amenity': 'restaurant', 'cuisine': 'mexican', 'name': 'Frontera Grill', 'opening_hours': 'Tu-Fr 11:30-14:30; Tu-Th 17:00-22:00; Fr 17:00-23:00; Sa 10:30-14:00, 17:00-23:00', 'phone': '+1-312-661-1434', 'website': 'https://www.rickbayless.com/restaurants/frontera-grill/', 'wheelchair': 'yes', 'wikidata': 'Q5505941'}"
Lao Sze Chuan,41.8913956,-87.6244867,"N/A, N/A","{'amenity': 'restaurant', 'cuisine': 'chinese', 'name': 'Lao Sze Chuan'}"
Oysy,41.8918368,-87.6260809,"East Grand Avenue, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '50', 'addr:postcode': '60611', 'addr:state': 'IL', 'addr:street': 'East Grand Avenue', 'amenity': 'restaurant', 'cuisine': 'sushi', 'name': 'Oysy', 'opening_hours': 'Mo-Th 11:30-22:00; Fr 11:30-23:00; Sa 12:00-23:00; Su 12:00-21:30', 'phone': '+1-312-670-6750', 'website': 'http://oysysushi.com/'}"
Sayat Nova,41.8924171,-87.6232272,"East Ohio Street, N/A","{'addr:housenumber': '157', 'addr:postcode': '60611', 'addr:street': 'East Ohio Street', 'amenity': 'restaurant', 'cuisine': 'armenian', 'name': 'Sayat Nova', 'opening_hours': 'We-Su 16:00-21:00', 'phone': '+1-312-644-9159', 'website': 'https://sayatnovachicago.com/'}"
The Park Grill,41.8826848,-87.6235979,"North Michigan Avenue, N/A","{'addr:housenumber': '11', 'addr:street': 'North Michigan Avenue', 'addr:street:name': 'Michigan', 'addr:street:prefix': 'North', 'addr:street:type': 'Avenue', 'amenity': 'restaurant', 'name': 'The Park Grill', 'wikidata': 'Q7137749', 'wikipedia': 'en:Park Grill'}"
Naf Naf Grill,41.8830851,-87.6356904,"West Washington Street, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '309', 'addr:postcode': '60606', 'addr:state': 'IL', 'addr:street': 'West Washington Street', 'amenity': 'restaurant', 'brand': 'Naf Naf Grill', 'brand:wikidata': 'Q111901442', 'cuisine': 'middle_eastern', 'name': 'Naf Naf Grill', 'opening_hours': 'Mo-Th 11:00-20:00; Fr 11:00-18:00', 'takeaway': 'yes'}"
Ramen MisoYa,41.8924038,-87.6212638,"N/A, N/A","{'amenity': 'restaurant', 'name': 'Ramen MisoYa'}"
